minute_of_day,diary_minute,tier_code,tier_label,weighted_minutes,share
0,1200,01,Personal care (incl. sleep),87582219104,0.876822
0,1200,02,Household activities,654696562,0.006554
0,1200,03,Caring for and helping household members,232213534,0.002325
0,1200,04,Caring for and helping nonhousehold members,5025855,0.00005
0,1200,05,Work and work-related activities,1085392495,0.010866
0,1200,06,Education,207358333,0.002076
0,1200,07,Consumer purchases,24117826,0.000241
0,1200,11,Eating and drinking,373928885,0.003744
0,1200,12,"Socializing, relaxing, and leisure",8131944802,0.081412
0,1200,13,"Sports, exercise, and recreation",80628838,0.000807
0,1200,14,Religious and spiritual activities,68276132,0.000684
0,1200,15,Volunteer activities,15247250,0.000153
0,1200,16,Telephone calls,428829614,0.004293
0,1200,18,Traveling,842387841,0.008433
0,1200,50,Insufficient detail,153701846,0.001539
1,1201,01,Personal care (incl. sleep),87591829726,0.876918
1,1201,02,Household activities,654696562,0.006554
1,1201,03,Caring for and helping household members,177690165,0.001779
1,1201,04,Caring for and helping nonhousehold members,5025855,0.00005
1,1201,05,Work and work-related activities,1085392495,0.010866
1,1201,06,Education,207358333,0.002076
1,1201,07,Consumer purchases,11072775,0.000111
1,1201,11,Eating and drinking,373928885,0.003744
1,1201,12,"Socializing, relaxing, and leisure",8151741210,0.08161
1,1201,13,"Sports, exercise, and recreation",80628838,0.000807
1,1201,14,Religious and spiritual activities,68276132,0.000684
1,1201,15,Volunteer activities,15247250,0.000153
1,1201,16,Telephone calls,428829614,0.004293
1,1201,18,Traveling,880549231,0.008816
1,1201,50,Insufficient detail,153701846,0.001539
2,1202,01,Personal care (incl. sleep),87636747726,0.877368
2,1202,02,Household activities,646904881,0.006476
2,1202,03,Caring for and helping household members,177690165,0.001779
2,1202,04,Caring for and helping nonhousehold members,5025855,0.00005
2,1202,05,Work and work-related activities,1085392495,0.010866
2,1202,06,Education,207358333,0.002076
2,1202,07,Consumer purchases,19540888,0.000196
2,1202,11,Eating and drinking,387153794,0.003876
2,1202,12,"Socializing, relaxing, and leisure",8110762998,0.0812
2,1202,13,"Sports, exercise, and recreation",75195610,0.000753
2,1202,14,Religious and spiritual activities,68276132,0.000684
2,1202,15,Volunteer activities,15247250,0.000153
2,1202,16,Telephone calls,428829614,0.004293
2,1202,18,Traveling,868141331,0.008691
2,1202,50,Insufficient detail,153701846,0.001539
3,1203,01,Personal care (incl. sleep),87633933678,0.87734
3,1203,02,Household activities,637865681,0.006386
3,1203,03,Caring for and helping household members,177690165,0.001779
3,1203,04,Caring for and helping nonhousehold members,5025855,0.00005
