episode,source,target,value
1,PADME,R2-D2,11
1,QUI-GON,R2-D2,14
1,ANAKIN,R2-D2,16
1,R2-D2,WATTO,3
1,C-3PO,R2-D2,2
1,KITSTER,R2-D2,2
1,NUTE GUNRAY,QUI-GON,1
1,PK-4,TC-14,1
1,OBI-WAN,TC-14,1
1,QUI-GON,TC-14,1
1,OBI-WAN,QUI-GON,26
1,NUTE GUNRAY,TC-14,1
1,DOFINE,NUTE GUNRAY,1
1,DOFINE,TC-14,1
1,NUTE GUNRAY,RUNE,8
1,RUNE,TEY HOW,2
1,NUTE GUNRAY,TEY HOW,1
1,CAPTAIN PANAKA,EMPEROR,3
1,EMPEROR,SIO BIBBLE,1
1,CAPTAIN PANAKA,SIO BIBBLE,3
1,JAR JAR,QUI-GON,22
1,JAR JAR,OBI-WAN,12
1,JAR JAR,TARPALS,2
1,BOSS NASS,QUI-GON,2
1,BOSS NASS,OBI-WAN,2
1,BOSS NASS,JAR JAR,2
1,EMPEROR,NUTE GUNRAY,5
1,EMPEROR,RUNE,3
1,NUTE GUNRAY,SIO BIBBLE,2
1,JAR JAR,SIO BIBBLE,1
1,CAPTAIN PANAKA,JAR JAR,7
1,QUI-GON,SIO BIBBLE,2
1,CAPTAIN PANAKA,QUI-GON,9
1,CAPTAIN PANAKA,PADME,7
1,PADME,QUI-GON,16
1,PADME,SIO BIBBLE,1
1,CAPTAIN PANAKA,OBI-WAN,7
1,OBI-WAN,RIC OLIE,3
1,JAR JAR,RIC OLIE,1
1,QUI-GON,RIC OLIE,2
1,CAPTAIN PANAKA,RIC OLIE,2
1,JAR JAR,PADME,9
1,QUI-GON,WATTO,6
1,ANAKIN,WATTO,4
1,PADME,WATTO,3
1,ANAKIN,QUI-GON,22
1,ANAKIN,PADME,16
1,JAR JAR,SEBULBA,2
1,ANAKIN,SEBULBA,2
1,QUI-GON,SEBULBA,2
1,PADME,SEBULBA,2
1,ANAKIN,JAR JAR,8
1,ANAKIN,JIRA,2
1,JIRA,QUI-GON,2
1,JIRA,PADME,1
1,ANAKIN,SHMI,7
1,JAR JAR,SHMI,3
1,QUI-GON,SHMI,8
1,PADME,SHMI,5
1,ANAKIN,C-3PO,3
1,C-3PO,PADME,2
1,OBI-WAN,SIO BIBBLE,1
1,DARTH MAUL,EMPEROR,3
1,ANAKIN,KITSTER,3
1,ANAKIN,WALD,2
1,KITSTER,WALD,1
1,JAR JAR,KITSTER,1
1,KITSTER,QUI-GON,2
1,JAR JAR,WALD,1
1,QUI-GON,WALD,2
1,ANAKIN,OBI-WAN,5
1,OBI-WAN,SHMI,1
1,C-3PO,WATTO,1
1,KITSTER,WATTO,1
1,C-3PO,QUI-GON,1
1,C-3PO,KITSTER,1
1,KITSTER,PADME,1
1,FODE/BEED,JABBA,1
1,JABBA,SHMI,1
1,SEBULBA,SHMI,1
1,ANAKIN,JABBA,1
1,JABBA,JAR JAR,1
1,JABBA,PADME,1
1,JABBA,SEBULBA,1
1,JABBA,QUI-GON,1
1,FODE/BEED,JAR JAR,2
1,FODE/BEED,PADME,1
1,GREEDO,QUI-GON,1
1,ANAKIN,GREEDO,1
1,GREEDO,WALD,1
1,KITSTER,SHMI,1
1,ANAKIN,CAPTAIN PANAKA,2
1,ANAKIN,RIC OLIE,4
1,EMPEROR,VALORUM,2
1,EMPEROR,JAR JAR,2
1,EMPEROR,QUI-GON,1
1,JAR JAR,VALORUM,1
1,QUI-GON,VALORUM,1
1,MACE WINDU,QUI-GON,2
1,KI-ADI-MUNDI,QUI-GON,2
1,QUI-GON,YODA,2
1,QUI-GON,RABE,1
1,KI-ADI-MUNDI,MACE WINDU,3
1,MACE WINDU,YODA,4
1,ANAKIN,MACE WINDU,3
1,MACE WINDU,RABE,1
1,KI-ADI-MUNDI,YODA,3
